CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IMPUTED
36047003101,Kings,Brooklyn,3092,1356,1736,23.0,33.7,27.7,0.1,12.8,2071,62453.30671448096,True
36047003102,Kings,Brooklyn,3513,1515,1998,23.2,29.0,33.2,0.1,11.0,2352,57888.259388712264,True
36047005301,Kings,Brooklyn,3486,1390,2096,29.5,42.9,19.5,0.0,4.4,2452,55694.44099583377,True
36047005303,Kings,Brooklyn,2999,1234,1765,27.0,48.9,15.9,0.0,4.3,2141,61898.11897917793,True
36047006901,Kings,Brooklyn,3893,1914,1980,18.9,63.2,8.2,0.0,5.9,2964,107343.57108306553,True
36047006902,Kings,Brooklyn,4117,2007,2110,18.8,62.9,7.9,0.0,6.7,3103,109793.98330601402,True
36047009001,Kings,Brooklyn,4424,2334,2090,47.2,27.9,1.9,0.1,20.9,1950,41542.89776974576,True
36047009002,Kings,Brooklyn,4290,2224,2066,36.6,36.5,2.7,0.2,22.1,1907,40286.08640346068,True
36047009202,Kings,Brooklyn,4595,2374,2221,34.9,38.8,3.2,0.1,20.9,2094,39712.62056149638,True
36047009401,Kings,Brooklyn,5603,2864,2739,43.8,24.7,2.5,0.0,26.5,2170,39086.6338474362,True
36047009402,Kings,Brooklyn,5299,2675,2623,25.4,37.6,3.8,0.0,31.1,2342,35480.871521534355,True
36047010401,Kings,Brooklyn,3689,1891,1799,21.2,6.6,1.6,1.6,68.3,1339,34221.46255589053,True
36047010402,Kings,Brooklyn,2690,1334,1355,10.4,16.9,1.7,1.3,69.1,1001,35759.007697927096,True
36047010601,Kings,Brooklyn,6129,3147,2982,31.4,6.6,0.9,0.0,60.7,1998,34655.195330674105,True
36047010602,Kings,Brooklyn,5400,2728,2672,22.6,18.5,2.2,0.0,55.7,1970,34406.17442272212,True
36047010801,Kings,Brooklyn,6386,3291,3095,39.1,9.7,1.3,0.0,48.9,2147,32531.996364306495,True
36047010802,Kings,Brooklyn,5430,2712,2719,26.6,27.3,3.0,0.0,41.1,2072,35858.3568529456,True
36047014901,Kings,Brooklyn,4439,2078,2361,16.8,66.5,3.8,0.0,7.5,3234,106883.3951186779,True
