LocationID,pickup_count,dropoff_count,total_count,latitude,longitude
159,273,891,1164,40.71238,-73.8827
160,116,1264,1380,40.7588,-73.97291
161,176525,147766,324291,40.7509,-73.96442
162,135541,108002,243543,40.754932,-73.984016
163,110430,94741,205171,40.754932,-73.984016
164,88961,81686,170647,40.6204,-73.96
165,172,980,1152,40.81,-73.9625
166,17169,26283,43452,40.82886,-73.9068
167,225,553,778,40.81421187,-73.92487542
168,557,2240,2797,40.8489,-73.9051
169,154,634,788,40.7479,-73.9757
170,112877,112578,225455,40.76583,-73.80842
171,74,684,758,40.574,-74.116
172,3,47,50,40.75306,-73.86119
173,85,753,838,42.18745,-71.20287
174,150,524,674,40.74905,-73.75668
175,61,435,496,40.564,-74.116
176,1,30,31,40.6783,-73.9108
177,310,1008,1318,40.6169,-73.9691
178,43,301,344,40.767,-73.921
179,688,3878,4566,40.68012,-73.84736
180,65,461,526,40.6711,-73.9814
181,1320,10002,11322,40.8383,-73.8566
182,168,459,627,40.85056,-73.83333
183,50,174,224,40.86335,-73.80197
184,8,49,57,40.85443,-73.86434
185,118,483,601,40.7498,-73.9917
186,130422,83721,214143,40.6355,-74.1255
187,3,26,29,40.65061,-73.95387
188,632,3069,3701,40.6774,-73.9668
189,434,3445,3879,40.6602,-73.969
190,82,526,608,40.71481,-73.75076
191,271,971,1242,40.74292,-73.82061
192,57,390,447,40.7606,-73.9361
193,3024,3801,6825,40.79677,-73.92208
194,141,535,676,41.99418,-73.87642
195,466,1470,1936,40.73193,-73.86887
196,247,1328,1575,40.6958,-73.8272
197,531,1580,2111,40.7044,-73.9018
198,149,2199,2348,40.7931,-73.886
199,1,0,1,40.894,-73.903
200,90,1242,1332,40.5798,-73.8372
201,81,425,506,40.76456,-73.94732
202,197,2228,2425,40.6584,-73.739
203,164,754,918,40.5434,-74.1976
204,3,16,19,40.6895,-73.7644
205,352,1269,1621,40.64667,-74.085
206,7,85,92,40.7647,-73.8985
207,350,358,708,40.822466,-73.811012
208,127,619,746,40.7072,-74.0027
209,7338,10596,17934,40.59094,-73.94493
210,149,607,756,40.7252,-74.00415
211,29263,31981,61244,40.8248156,-73.86866369
212,110,385,495,40.8177438,-73.86229168
213,302,675,977,40.5922485,-74.07108269
214,31,79,110,40.68094,-73.79089
215,596,1146,1742,40.67544,-73.81114
216,768,3830,4598,40.7044,-73.9566
217,154,1553,1707,42.12355096,-72.5012238
218,321,1128,1449,42.12355096,-72.5012238
219,367,1632,1999,40.87923007,-73.90716001
220,175,1557,1732,40.6265,-74.0776
221,6,75,81,40.66677,-73.88236
222,195,376,571,40.77376,-73.90494
223,790,5286,6076,40.73472,-73.9775
224,4975,14800,19775,40.68266,-73.93402
225,491,3565,4056,40.7433,-73.9196
226,2798,6890,9688,40.645531,-74.012383
227,89,699,788,40.645531,-74.012383
228,276,1979,2255,40.75801217,-73.96019998
229,72671,80643,153314,40.75888,-73.98482
230,127782,118074,245856,40.71626,-74.01257993
231,51530,58256,109786,40.714722,-73.989444
232,4567,18036,22603,40.74966,-73.96918
233,47522,58778,106300,40.7359,-73.9911
234,103005,88613,191618,40.85183,-73.91626
235,261,607,868,40.7641,-73.956
236,160248,167521,327769,40.7736,-73.9566
237,179010,160533,339543,40.91394506,-73.84871493
238,73450,84714,158164,40.787,-73.9754
239,105549,106640,212189,40.89506,-73.88012
240,14,106,120,40.8837,-73.8931
241,166,630,796,40.84571265,-73.86372734
242,250,645,895,40.85546,-73.93379
243,607,6728,7335,40.84231,-73.93924
244,2390,11040,13430,40.627,-74.1093
245,5,50,55,40.75341588,-74.00002199
246,64545,73486,138031,40.82763,-73.92533
247,454,1412,1866,40.83976,-73.87793
248,118,368,486,40.7347,-74.0048
249,85535,64097,149632,40.83290329,-73.86214297
250,124,366,490,40.6163,-74.1387
251,6,77,83,40.78863,-73.81373
252,58,722,780,40.79649,-73.77902
