base_year,cd,geo_name,geo_level,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1975,606,New York City,ny,100.0,102.08827778518015,106.74161875031454,112.66703310006592,122.6889646791826,135.75225022620393,150.83568944239937,166.25449001791603,193.94749820156085,234.5146916037,298.4744777648043,382.75027454880586,455.9479885547981,492.84975744651297,502.8546822313135,490.902235621271,443.3582232241898,427.2580719797776,433.3567673333514,433.179744342374,447.7654442123498,458.99533610027214,477.42111474176295,511.8887866517617,556.076940187897,634.4781429780629,716.7676614218449,783.350033990959,913.774633116694,1071.0635403498777,1256.3825288771948,1383.128986935964,1374.5694441696091,1306.3928168036318,1185.9783295766244,1165.874807519361,1166.8195235720264,1215.263540658562,1318.7603843010063,1461.16913998619,1576.9509989720896,1645.3665458171265,1717.4494062872704,1770.293026437865,1829.726820493082,1837.5579944645835,1924.7358638533888,2020.051944702258,1962.1088601967504,2086.5066094044537,2139.619307952597,2192.7320065007398,2245.844705048882,2299.102917839623,2352.2156163877657,2405.328314935908
1975,601,Manhattan,boro,100.0,98.46251702804123,103.6209219127412,125.90909007628272,153.17629542411828,189.1322771231933,214.91530526966145,240.77084269372835,287.402257813436,363.9300568652335,479.0114291011976,510.3737188992303,614.1945036671206,643.6278026331985,661.8319241483371,631.5278740842524,563.4345530280096,521.9956898480211,522.8964577521324,502.7288000693542,559.9579386670474,577.1394097551981,640.7866291711601,745.6828775651288,839.9713222083468,1012.3921179245718,1159.7610721897008,1270.469969989657,1337.5335555882496,1618.5437727611895,1980.310552968567,2135.090695697568,2280.656944323772,2349.5737813483543,2075.732470042456,2105.485751444939,2183.9522125970334,2282.656960909354,2530.345187983943,2816.73324548678,3002.058777088763,3098.028582749892,3083.62550080052,3026.769970774899,2917.471822947614,2733.63477267083,2809.032626582261,2958.806188616051,2789.377332740288,3395.2601995784107,3479.520705120958,3563.781210663504,3648.0417162060494,3732.5330724487126,3816.793577991258,3901.054083533804
1975,602,The Bronx,boro,100.0,101.30447388527494,104.31952440563568,109.07868251187894,117.0284914754397,124.7537167014715,138.43706365768756,146.7339528713979,165.47474277847948,188.1561020643715,229.78746515688857,296.8230864167509,372.9922006259943,450.0700414333655,475.8939042740522,466.0166544176016,412.68038270947216,408.4634078394935,399.6663873500495,414.5161887872647,407.8345942866423,415.4615601858534,437.26212783935966,462.2041184709444,500.05083838596096,520.2649719373837,579.4717960000424,623.945063825204,734.5108537145994,855.6666625444403,987.3175995956376,1134.9761727081568,1158.059813951087,1101.1020952847196,987.6871215890284,932.3204542309468,908.2929352805288,873.71965673987,892.9019903393531,988.0454928699984,1065.2898995201172,1147.200129072576,1204.226198546335,1288.1664630902417,1402.575875190069,1473.602984764376,1586.0907521789732,1663.7218033338893,1617.049647468334,1529.5173975588148,1563.951406892379,1598.385416225943,1632.819425559507,1667.34777464467,1701.7817839782338,1736.2157933117978
1975,603,Brooklyn,boro,100.0,104.25686548621842,109.64210074878594,114.7418494281144,122.90074714153468,136.3065151046562,153.41276676516472,174.46293006339,198.5848361936407,244.2816335809895,309.14198838382424,406.6221236692145,488.3805471347947,535.8723736390772,557.4070842320963,555.4907441829038,510.6715909641109,477.4803111477578,497.95189724364775,496.6102994583731,518.5373670360653,536.1274428108109,560.2485559951565,603.6523702189367,662.7803970526979,752.1037403453417,849.3718927912445,919.0682338462944,1101.1691772893073,1308.7871221725652,1530.854112841998,1740.2302177863576,1704.548383400103,1601.528198366705,1456.9102272155085,1424.8075584636092,1402.0390610641937,1480.4541991013336,1673.7437373078258,1948.90404944454,2209.6866825218467,2317.837521908874,2405.578169339376,2510.6537846086853,2572.758722427759,2618.84890320398,2767.4000873101013,2871.3261003211205,2849.417657012418,2962.661546030985,3046.9027715824186,3131.143997133852,3215.3852226852846,3299.857246114941,3384.0984716663743,3468.3396972178075
1975,604,Queens,boro,100.0,101.81348362797888,105.00518861289206,110.14418325226156,120.54590569391696,132.00312119135555,146.6394160832604,160.9150219624592,190.7995186337881,232.88794502841617,300.97727477704217,388.8560735225496,448.7944256236981,486.6358185070559,487.6745267489495,474.3118767538705,424.7632272769992,417.52909669619777,421.4215283528164,428.465858509777,437.32704167305167,445.069771202174,458.951170497502,478.4149069632922,511.8003991284368,593.780980882279,673.4076452841717,729.9301915613829,888.2796340529753,1024.1488655442568,1200.4580156526292,1329.923196786941,1309.1789414827742,1188.8446949201268,1069.4986236092443,1018.8864307816572,1021.5859282038456,1051.8679218485931,1129.7753031148611,1251.3853546791172,1365.4519917628054,1455.4765643347378,1553.4941875079344,1620.718786697803,1711.4269744114097,1747.3476112106514,1871.4030991234783,1907.46880721234,1837.3271914348936,1877.1082649290415,1922.782495769861,1968.45672661068,2014.1309574514987,2059.9303231713334,2105.604554012152,2151.278784852971
1975,605,Staten Island,boro,100.0,102.13238836243195,106.55396175303127,113.61147058059969,126.25850151033042,142.5147599996997,155.52137212407715,163.49079604721751,189.64184027017444,217.9922311960726,266.9982499515278,338.9258261502214,422.5865633024037,451.9031492060639,443.38060830877566,414.2934132447032,381.3335691060795,377.2292238113439,374.5344120480809,378.6813387307015,376.04177478892086,385.20368972541536,385.2597872741661,408.1469633995249,444.70008111073207,502.5697964140618,568.6714526457287,630.8127666696482,714.2594566221973,836.5408372777425,960.9678953283318,990.86810777912,964.3859395197396,902.1488168869222,875.131334150282,885.0492329766945,857.657706625852,856.5577517647657,869.186272680143,897.4648868616317,944.0758265032006,1016.3620648639588,1124.7393286966674,1189.980313367615,1246.030726529881,1258.4572563810268,1365.3201957177637,1432.0618312591978,1404.455839371952,1366.0089003693136,1396.1620061941092,1426.3151120189048,1456.4682178437,1486.7039349173308,1516.8570407421264,1547.0101465669218
1975,101,Financial District,cd,100.0,101.22169299196422,216.4626609252663,299.4478049661144,304.04869458209373,635.731460329408,159.89705024911444,930.21448084147,888.5691644890355,789.695447178517,1324.0939834442297,1802.554041758571,1689.64466925817,1578.6917924308975,1770.4226949439133,1647.2526212831476,1491.5308563550802,1447.8989845979231,1227.2226717952449,1277.488087878003,1394.95806342327,1428.9258068047152,1548.6817364608628,1703.3658738256856,1998.098453038207,2416.092888093024,2721.094776413436,2961.5700653973454,3230.5024634547026,3883.85641502757,4510.536137734258,5063.65510043853,5208.010482809877,5502.820800461646,5127.066261712581,4916.4560729786135,4957.585275525491,5211.036549434759,5692.152119263519,6395.554264475288,6634.586343148544,6890.198018794394,6957.894629577297,6683.331850924611,6597.958713732831,6018.218971131873,6364.445729048446,6571.777925330932,6335.500047028046,7450.94771023053,7621.704408940447,7792.461107650362,7963.217806360277,8134.442331642,8305.199030351914,8475.95572906183
1975,102,Greenwich Village/Soho,cd,100.0,111.21981960148956,125.34028152297122,146.60319025617645,178.97126125939644,206.00922104261016,256.4172244856058,330.8655107837862,359.81648937941225,430.4969806146906,565.8532910270221,566.5370748368525,699.6355558690135,702.3764976707404,785.1403696963574,746.708981148544,636.7280132989029,649.2599445585631,676.0373457897704,666.9593304842007,717.6650916609367,744.3988735584308,875.8249007289685,1123.2318418402554,1215.310883120858,1595.2771106511111,1726.56536315627,1920.2417777044573,1946.536756182654,2352.105321591188,2789.01375203261,3347.969008365495,3401.3454726219466,3773.612460932328,3209.560505574988,3292.9908868467287,3582.114621598636,3803.463051250181,4138.165042585831,4641.407292623699,4947.383731850724,4952.698390681699,4955.878813701306,4853.67243752859,4635.970214669169,4537.552042707997,4635.148376975936,5310.946011416504,4792.700022138788,5780.917681339801,5939.236333035429,6097.554984731055,6255.8736364266815,6414.626037852983,6572.944689548609,6731.263341244235
1975,103,Lower East Side/Chinatown,cd,100.0,73.16923792332977,116.3120950956901,99.58189141409576,122.96633495260384,140.4140591304688,150.50617339064308,184.3431210372644,222.8709080556944,294.7902336581428,383.4832654310604,529.8666859959781,695.8620485398196,665.472877701389,713.8495041599557,681.0300126180764,751.5885839510399,531.8489678380266,614.7444778226468,566.2750868968126,668.6417196610785,611.3661928774029,758.0591366217682,795.548973961912,971.4604122774526,971.8925386448556,1331.9863556406322,1392.1824917669455,1642.0205239916877,1975.8134954693428,2293.3453645938425,2470.150693900651,2707.3336244492443,2989.447407303177,2454.290769684627,2615.98910534418,2819.518289974914,3235.5885388054085,3298.726973797458,3548.133043477499,3903.696838867726,4189.853717244885,4026.48348752904,4281.706529674557,4443.437566343503,4005.2222167392015,4006.8739757557714,4248.913617948524,3931.1131687366383,4854.987092288205,4991.891134708892,5128.795177129576,5265.699219550261,5402.978341539222,5539.882383959906,5676.786426380591
1975,104,Clinton/Chelsea,cd,100.0,55.47755332561037,71.39816235129,64.67192590895037,81.16181203071908,97.84902638084456,132.40586528092172,155.19824734664127,176.7767817748104,253.0370871573832,351.2107715163547,401.0317490837206,382.92965350662354,473.6934863986135,513.9659911630453,517.2586923592412,331.42984486845364,323.84765052133616,320.380299651155,328.2844626688691,346.426980575389,384.5351829052879,437.9524724422998,511.1561180672241,637.8703955333798,718.4015393575248,824.6029181947524,951.7826465655,1017.3753316912124,1202.2263839936634,1509.9424775950588,1536.18432224115,1684.76582640864,1696.2390842578486,1469.0487973829015,1562.869369402511,1603.5682803350578,1706.3728089741264,1942.06934893088,2132.8362179430533,2303.2908572352344,2258.494579148239,2264.4823075284,2213.0356266979584,2136.353746355888,2004.816558005955,2049.616784541956,2170.406064898289,2070.7568378400924,2487.0440384455464,2548.087073175806,2609.130107906064,2670.173142636322,2731.383418557623,2792.426453287881,2853.46948801814
